t,open,high,low,close,volume
1762424039999,102933.61,102937.42,102903.8,102903.8,4.30414
1762424099999,102903.81,102919.99,102854.37,102867.22,8.71092
1762424159999,102867.22,102893.29,102849.93,102874.48,17.69461
1762424219999,102874.48,102931.55,102873.0,102931.55,11.95044
1762424279999,102931.55,103000.0,102931.55,103000.0,15.45832
1762424339999,102999.99,103047.25,102999.99,103041.52,8.9897
1762424399999,103041.53,103087.99,103030.73,103030.74,8.21867
1762424459999,103030.73,103031.9,103025.32,103031.9,1.62161
1762424519999,103031.9,103087.99,103031.89,103066.33,7.53943
1762424579999,103066.33,103066.33,103035.94,103042.66,4.01349
1762424639999,103042.65,103042.66,102948.43,102948.44,4.45153
1762424699999,102948.44,102978.12,102948.44,102978.11,2.36017
1762424759999,102978.12,103020.0,102978.11,103020.0,4.56721
1762424819999,103019.99,103049.55,103019.99,103049.55,2.97789
1762424879999,103049.55,103078.19,103010.13,103076.72,10.5286
1762424939999,103076.71,103087.99,103019.99,103061.08,12.77195
1762424999999,103061.07,103061.07,103015.36,103025.23,17.11585
1762425059999,103025.23,103048.4,103014.93,103048.4,10.01776
1762425119999,103048.4,103110.87,103048.39,103072.43,22.10326
1762425179999,103072.43,103107.95,103051.57,103107.95,8.58025
1762425239999,103107.95,103149.54,103107.95,103149.21,26.10603
1762425299999,103149.21,103265.07,103137.82,103265.07,26.34234
1762425359999,103265.07,103265.07,103173.47,103194.87,15.62313
1762425419999,103194.86,103211.83,103171.86,103173.49,11.11476
1762425479999,103173.49,103221.58,103173.48,103221.58,8.91771
1762425539999,103221.58,103280.04,103221.58,103280.03,26.20421
1762425599999,103280.04,103280.04,103257.44,103274.56,10.51045
1762425659999,103274.55,103275.81,103212.84,103225.56,10.98757
1762425719999,103225.56,103288.59,103225.56,103264.33,5.21174
1762425779999,103264.32,103280.78,103228.64,103280.78,4.13876
1762425839999,103280.78,103280.78,103120.24,103154.82,37.15298
1762425899999,103154.82,103154.82,103100.01,103119.28,13.06918
1762425959999,103119.28,103148.92,103100.7,103148.92,7.60671
1762426019999,103148.92,103204.57,103121.89,103121.9,13.70739
1762426079999,103121.9,103179.97,103048.33,103076.39,13.39875
1762426139999,103076.4,103076.4,103023.62,103033.61,8.56254
1762426199999,103033.62,103063.13,103023.63,103063.13,3.98337
1762426259999,103063.12,103092.37,103044.68,103091.2,6.77217
1762426319999,103091.19,103156.17,103067.3,103156.16,6.50766
1762426379999,103156.16,103168.99,103145.15,103168.99,4.59918
1762426439999,103168.99,103168.99,103138.58,103168.97,2.18343
1762426499999,103168.98,103168.98,103159.43,103168.97,6.04074
1762426559999,103168.97,103190.57,103168.97,103190.57,3.31762
1762426619999,103190.58,103223.23,103184.89,103186.41,6.0854
1762426679999,103186.41,103207.75,103168.89,103168.93,5.00952
1762426739999,103168.93,103168.93,103139.18,103146.75,2.3628
1762426799999,103146.76,103146.76,103117.99,103122.54,3.06779
1762426859999,103122.54,103122.54,103060.04,103060.04,11.13457
1762426919999,103060.05,103060.05,103034.48,103057.67,5.04471
1762426979999,103057.67,103073.66,102861.88,102894.47,49.2543
1762427039999,102894.47,102914.92,102847.45,102851.9,14.16198
1762427099999,102851.89,102867.69,102838.37,102852.25,7.12672
1762427159999,102852.26,102855.01,102832.37,102839.99,5.1148
1762427219999,102839.99,102870.69,102795.0,102802.73,12.18719
1762427279999,102802.73,102802.73,102743.82,102788.75,15.01059
1762427339999,102788.75,102862.42,102773.2,102862.41,9.09001
1762427399999,102862.42,102862.42,102840.92,102840.92,1.2537
1762427459999,102840.93,102895.42,102840.92,102894.92,7.56435
1762427519999,102894.92,102909.32,102872.08,102872.09,2.7832
1762427579999,102872.09,102902.96,102872.08,102887.53,4.75319
1762427639999,102887.54,102887.54,102831.59,102882.36,10.39047
1762427699999,102882.37,102882.37,102861.79,102878.58,4.72147
1762427759999,102878.58,102878.59,102827.51,102868.81,7.02648
1762427819999,102868.81,102925.97,102868.8,102903.37,9.02995
1762427879999,102903.37,103015.43,102903.36,102987.34,18.63228
1762427939999,102987.34,102997.12,102980.7,102984.54,5.27092
1762427999999,102984.55,103050.0,102984.54,103050.0,6.5812
1762428059999,103050.0,103099.53,103049.99,103091.18,6.40497
1762428119999,103091.17,103180.0,103091.17,103137.33,17.27723
1762428179999,103137.33,103155.84,103082.0,103082.01,15.1904
1762428239999,103082.01,103103.08,103082.0,103103.08,5.40588
1762428299999,103103.08,103130.45,103103.07,103109.83,8.6668
1762428359999,103109.83,103130.68,103064.5,103083.95,8.70262
1762428419999,103083.94,103099.99,103064.27,103099.99,25.34503
1762428479999,103099.99,103138.59,103073.64,103138.58,10.4775
