strategy,optimizer,builder,window_label,score,total_return,trades,equity_final,bars_processed,penalized_reason,window_start_ts,window_end_ts,param_allow_short,param_cooldown_bars,param_debug,param_entry_threshold,param_exit_threshold,param_lookback_ticks,param_max_volatility,param_min_volatility,param_order_notional,param_qty_frac,param_stop_loss_pct,param_take_profit_pct,param_trend_confirmation,param_volatility_window,run_dir
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,0,False,0.000500,0.001100,90,0.079000,0.000800,5.000000,1.000000,0.020000,0.030000,False,135,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T200507Z_momentum_bayes_12h
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,1,False,0.000400,0.000400,14,0.079000,0.000700,5.000000,1.000000,0.030000,0.020000,True,140,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T200512Z_momentum_bayes_12h
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,5,False,0.001300,0.001200,66,0.044000,0.000400,5.000000,1.000000,0.010000,0.070000,False,95,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T200517Z_momentum_bayes_12h
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,6,False,0.000500,0.000200,22,0.078000,0.000800,5.000000,1.000000,0.044000,0.055000,False,35,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T200522Z_momentum_bayes_12h
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,4,False,0.001200,0.001300,20,0.034000,0.000700,5.000000,1.000000,0.034000,0.070000,True,60,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T200526Z_momentum_bayes_12h
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,5,False,0.000300,0.001500,57,0.043000,0.000600,5.000000,1.000000,0.010000,0.030000,True,107,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T200530Z_momentum_bayes_12h
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,3,False,0.000700,0.000700,82,0.113000,0.000600,5.000000,1.000000,0.016000,0.030000,True,144,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T200535Z_momentum_bayes_12h
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,0,False,0.001200,0.000900,48,0.087000,0.000700,5.000000,1.000000,0.024000,0.065000,True,79,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T200540Z_momentum_bayes_12h
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,4,False,0.000900,0.001400,20,0.035000,0.000700,5.000000,1.000000,0.042000,0.025000,True,113,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T200545Z_momentum_bayes_12h
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,6,False,0.001000,0.000100,10,0.070000,0.000400,5.000000,1.000000,0.050000,0.065000,True,96,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T200549Z_momentum_bayes_12h
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,3,False,0.000400,0.000600,59,0.051000,0.000900,5.000000,1.000000,0.016000,0.035000,False,150,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T200554Z_momentum_bayes_12h
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,5,False,0.000300,0.000900,85,0.052000,0.000700,5.000000,1.000000,0.016000,0.045000,True,150,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T200559Z_momentum_bayes_12h
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,0,False,0.000500,0.001100,90,0.079000,0.000800,5.000000,1.000000,0.020000,0.030000,False,135,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T204900Z_momentum_bayes_12h
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,1,False,0.000400,0.000400,14,0.079000,0.000700,5.000000,1.000000,0.030000,0.020000,True,140,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T204905Z_momentum_bayes_12h
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,5,False,0.001300,0.001200,66,0.044000,0.000400,5.000000,1.000000,0.010000,0.070000,False,95,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T204910Z_momentum_bayes_12h
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,6,False,0.000500,0.000200,22,0.078000,0.000800,5.000000,1.000000,0.044000,0.055000,False,35,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T204915Z_momentum_bayes_12h
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,4,False,0.001200,0.001300,20,0.034000,0.000700,5.000000,1.000000,0.034000,0.070000,True,60,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T204919Z_momentum_bayes_12h
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,5,False,0.000300,0.001500,57,0.043000,0.000600,5.000000,1.000000,0.010000,0.030000,True,107,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T204923Z_momentum_bayes_12h
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,3,False,0.000700,0.000700,82,0.113000,0.000600,5.000000,1.000000,0.016000,0.030000,True,144,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T204928Z_momentum_bayes_12h
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,0,False,0.001200,0.000900,48,0.087000,0.000700,5.000000,1.000000,0.024000,0.065000,True,79,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T204933Z_momentum_bayes_12h
momentum,bayes,compact_60ticks,12h,0.0,0.0,0,100.0,44224,,1763444746.142,1763487946.142,False,4,False,0.000900,0.001400,20,0.035000,0.000700,5.000000,1.000000,0.042000,0.025000,True,113,runs_opt/compact_60ticks/momentum/bayes/12h/20251119T204938Z_momentum_bayes_12h
